clothing_type,gender,season,city,color,review_score,price_range,sales_volume,date
Jacket,Male,Winter,Mumbai,Blue,4.6584633854995,64.50462706205839,2479,2045-12-15 14:43:54.165463
Pants,Female,Winter,Patna,Pink,4.74950356630745,41.85468928510348,1124,2032-05-04 14:43:54.165463
Lower,Male,Winter,Indore,Black,4.408923808735831,46.974179496305766,1029,2049-03-09 14:43:54.165463
Shirt,Female,Winter,Faridabad,Red,4.374996173395024,82.23997263963096,821,2031-06-01 14:43:54.165463
Winter Cap,Male,Fall,Kolkata,Grey,3.113351330672945,12.829734299696625,605,2028-08-11 14:43:54.165463
Shirt,Male,Summer,Surat,Pink,3.219558482916343,60.10942906146678,486,2029-04-30 14:43:54.165463
Kurta,Female,Winter,Jaipur,Red,4.625125420781747,72.57271212760641,836,2037-05-04 14:43:54.165463
Skirt,Female,Spring,Delhi,Green,3.465902523247263,76.71283143056644,1989,2034-08-19 14:43:54.165463
Winter Cap,Female,Fall,Pune,Blue,3.711130120434166,26.483544833725205,777,2027-06-06 14:43:54.165463
Hoodie,Female,Spring,Agra,White,3.2905947073517536,94.86977042155256,641,2051-02-27 14:43:54.165463
Shorts,Female,Fall,Mumbai,Green,3.390303937149838,21.507355477995524,584,2028-08-26 14:43:54.165463
Shirt,Male,Fall,Ghaziabad,Pink,4.550834470740412,55.55242287110919,630,2027-05-27 14:43:54.165463
Jacket,Male,Spring,Delhi,Red,3.5237192390310765,78.91393330260635,456,2043-08-22 14:43:54.165463
Socks,Female,Spring,Kolkata,Black,3.8980699325283803,13.051725629963686,847,2029-01-03 14:43:54.165463
Shorts,Female,Winter,Meerut,Pink,3.303342746118479,54.143173762673726,736,2043-01-28 14:43:54.165463
Pants,Male,Spring,Bhopal,Red,4.355859812632197,75.12240902823322,1484,2033-07-24 14:43:54.165463
Skirt,Male,Summer,Agra,Red,4.456539468266953,57.87621642520413,1310,2048-01-14 14:43:54.165463
Scarf,Female,Fall,Hyderabad,Pink,3.7233846357974274,43.4123183143039,1550,2045-01-14 14:43:54.165463
Kurta,Female,Fall,Ludhiana,Black,4.569493292245501,70.85588821980559,1040,2045-01-05 14:43:54.165463
Socks,Male,Winter,Visakhapatnam,Blue,3.479813303844253,5.09457419478771,767,2044-05-13 14:43:54.165463
Kurta,Female,Fall,Hyderabad,Blue,4.383807724200312,134.07629632752656,553,2035-12-24 14:43:54.165463
Hoodie,Male,Spring,Bangalore,Pink,4.459929162840908,38.35885696846302,940,2043-01-06 14:43:54.165463
Shoes,Male,Fall,Jaipur,Pink,4.937314755577552,52.641668504442265,969,2024-06-26 14:43:54.165463
Jeans,Female,Fall,Agra,Pink,3.4646433303734323,68.30381306943589,853,2039-07-21 14:43:54.165463
Kurta,Male,Spring,Thane,Red,3.1874209600855057,81.73179885874532,718,2026-03-04 14:43:54.165463
Jacket,Male,Spring,Ghaziabad,Pink,3.526070844579573,61.583025615840874,841,2037-03-31 14:43:54.165463
Hoodie,Male,Fall,Bangalore,Green,3.245724393164238,86.99278525391297,746,2023-12-25 14:43:54.165463
Jeans,Female,Summer,Kanpur,White,3.3393886169886193,72.44741841666666,672,2051-03-21 14:43:54.165463
Kurta,Male,Spring,Thane,Pink,3.668229023711949,93.89159751465539,592,2025-12-26 14:43:54.165463
Skirt,Female,Summer,Ghaziabad,Green,3.8279814934440015,48.52376875669822,2403,2033-01-02 14:43:54.165463
Blazer,Male,Summer,Pune,Yellow,4.80744845150276,157.18628294585358,819,2030-07-15 14:43:54.165463
Shorts,Male,Winter,Kanpur,Green,3.391231543000042,50.66925562469335,674,2039-01-07 14:43:54.165463
Socks,Male,Summer,Ludhiana,Red,4.943517951842432,18.592740732507753,1096,2048-03-26 14:43:54.165463
Skirt,Male,Winter,Nagpur,Red,4.620306419792343,97.93707205146045,930,2039-03-05 14:43:54.165463
Socks,Male,Summer,Thane,White,4.762942779786882,11.40085886902046,860,2035-05-21 14:43:54.165463
Blazer,Female,Winter,Lucknow,White,4.858887979480487,248.10643316600724,76,2027-03-11 14:43:54.165463
Dress,Female,Spring,Visakhapatnam,White,4.506482394282242,84.81902108256197,2443,2041-05-27 14:43:54.165463
Shorts,Male,Fall,Ludhiana,Red,4.577559663234123,20.279037411402406,1034,2025-12-19 14:43:54.165463
Dress,Female,Fall,Faridabad,Red,3.8756365932112393,148.62830092618069,584,2024-11-02 14:43:54.165463
Winter Cap,Female,Winter,Kanpur,Green,4.020900469352488,15.353069456235959,2194,2047-01-22 14:43:54.165463
Shorts,Male,Spring,Ghaziabad,Red,4.8649708535332685,22.098193524954514,1264,2033-08-11 14:43:54.165463
Dress,Female,Winter,Patna,Yellow,3.756511823105299,169.74120455068933,390,2047-01-29 14:43:54.165463
T-Shirt,Female,Winter,Bhopal,Blue,3.083894146128414,42.71337906739454,502,2033-12-01 14:43:54.165463
Shirt,Female,Spring,Bangalore,Blue,4.525508770949546,31.67321209998666,2079,2051-01-04 14:43:54.165463
Winter Cap,Female,Summer,Jaipur,White,4.1463150234350366,33.30730457153,636,2024-09-30 14:43:54.165463
T-Shirt,Male,Summer,Kolkata,Red,4.629751924686623,44.53998940994487,2641,2048-04-15 14:43:54.165463
Jacket,Female,Spring,Vadodara,Yellow,3.1511025332219242,185.79524977738566,221,2045-01-07 14:43:54.165463
Socks,Male,Winter,Ahmedabad,Grey,4.242463980951579,13.1554110119954,1016,2028-06-11 14:43:54.165463
Sweater,Male,Fall,Vadodara,Blue,3.495411775981516,87.7559052896072,455,2036-02-12 14:43:54.165463
Scarf,Female,Winter,Surat,Green,4.806537188988968,41.67837476363538,2260,2028-01-19 14:43:54.165463
Socks,Male,Summer,Ghaziabad,Grey,3.2198198794834916,15.329584027341603,671,2028-08-08 14:43:54.165463
Pants,Female,Spring,Kanpur,Black,4.686138545450126,60.57584911680765,1781,2035-07-02 14:43:54.165463
Pants,Male,Spring,Pune,Pink,3.1771085039438205,55.1157589027836,1401,2032-07-15 14:43:54.165463
T-Shirt,Female,Spring,Bangalore,Green,3.0501947109939964,31.771840896844928,436,2042-06-25 14:43:54.165463
Lower,Female,Summer,Vadodara,Black,3.4701188600838444,59.845000782593225,493,2042-05-19 14:43:54.165463
Jeans,Male,Winter,Lucknow,Yellow,3.6660890818533676,67.00486243377252,770,2037-01-16 14:43:54.165463
Shirt,Female,Spring,Pune,Green,4.2530575436237426,30.73747007889566,2558,2024-07-13 14:43:54.165463
Winter Cap,Female,Fall,Nagpur,Blue,3.2634491947221074,32.95110895010883,657,2025-07-19 14:43:54.165463
Shirt,Female,Spring,Nashik,Red,3.87465986718215,38.89858456151712,1339,2024-07-02 14:43:54.165463
Winter Cap,Female,Winter,Nashik,Black,3.4085272042057477,25.98080078856117,1855,2037-08-03 14:43:54.165463
Socks,Male,Summer,Surat,Red,4.710606643094127,6.437022749008561,1209,2048-05-16 14:43:54.165463
Jacket,Male,Fall,Patna,Yellow,3.08993301590261,142.8925791225186,659,2042-09-12 14:43:54.165463
Hoodie,Male,Fall,Kanpur,Pink,3.711875453377042,96.08051827322555,715,2047-02-23 14:43:54.165463
T-Shirt,Female,Spring,Kolkata,Pink,4.2627481599382175,40.294664941243525,1030,2049-11-20 14:43:54.165463
Blazer,Male,Winter,Lucknow,Red,4.826176356103878,100.76160786305655,843,2027-07-31 14:43:54.165463
Lower,Female,Spring,Surat,Blue,4.7359868453877905,58.84552181155443,638,2032-10-10 14:43:54.165463
Pants,Female,Fall,Bangalore,Yellow,4.7903839990343275,41.88978120635015,2053,2026-05-26 14:43:54.165463
Jacket,Female,Spring,Kolkata,Grey,3.125706587365964,115.49224797370317,410,2025-11-21 14:43:54.165463
Socks,Male,Winter,Hyderabad,Pink,4.681846522926919,12.471755305592012,1267,2033-03-11 14:43:54.165463
Pants,Male,Summer,Pune,White,4.559825157088238,79.489530885541,601,2040-01-07 14:43:54.165463
T-Shirt,Male,Fall,Pune,White,4.804863298551238,17.411199025171413,992,2039-11-16 14:43:54.165463
Pants,Male,Winter,Chennai,Black,3.6231525345160027,63.32005619395635,258,2033-01-31 14:43:54.165463
Lower,Female,Spring,Nagpur,Blue,4.823530212546734,34.47723502770943,1140,2027-02-06 14:43:54.165463
Shorts,Male,Fall,Kanpur,Red,3.8052821701728954,23.133012764097572,534,2037-10-14 14:43:54.165463
Skirt,Male,Spring,Bangalore,Green,4.2681993710516,95.45221603429995,1296,2026-05-23 14:43:54.165463
Pants,Male,Spring,Chennai,Grey,3.8483579824139964,57.442207552868595,1244,2032-03-19 14:43:54.165463
T-Shirt,Male,Summer,Agra,Green,3.8552968610313023,41.37313026560715,1860,2047-08-10 14:43:54.165463
Lower,Female,Spring,Vadodara,Yellow,4.093274037589803,29.615417422851188,942,2024-10-12 14:43:54.165463
Skirt,Male,Spring,Lucknow,Black,3.711853419241645,83.30786458405966,1076,2024-10-30 14:43:54.165463
Shirt,Male,Winter,Hyderabad,Black,4.585473988538471,78.85090360150909,830,2040-06-19 14:43:54.165463
Winter Cap,Male,Spring,Thane,Black,4.267277470830478,22.924881916434288,1081,2025-02-26 14:43:54.165463
Shorts,Female,Summer,Delhi,Blue,4.379511523077891,42.878258909918614,2056,2028-09-02 14:43:54.165463
Shorts,Male,Spring,Thane,Green,3.4620696004435274,58.874901397182185,196,2025-10-03 14:43:54.165463
Jeans,Male,Spring,Visakhapatnam,Yellow,4.939150576962785,107.73837133662072,1094,2035-07-21 14:43:54.165463
Dress,Male,Spring,Delhi,Grey,4.320352195545931,105.05475824420218,1515,2044-03-27 14:43:54.165463
Shirt,Female,Fall,Kolkata,Blue,3.394391729060783,68.19730081912998,685,2051-01-07 14:43:54.165463
Scarf,Female,Summer,Bhopal,Yellow,4.500980486942067,42.44810168808796,804,2046-02-18 14:43:54.165463
Kurta,Male,Fall,Ahmedabad,Blue,3.3474282064152456,42.67617026360733,605,2051-03-04 14:43:54.165463
Lower,Male,Summer,Bhopal,Grey,3.126769792599017,43.53463946501081,497,2032-10-17 14:43:54.165463
Shirt,Female,Summer,Meerut,Grey,4.055106792291669,88.99435987182605,903,2042-09-12 14:43:54.165463
Dress,Female,Winter,Vadodara,Red,4.107047908324694,172.86938772655475,416,2050-02-01 14:43:54.165463
Shorts,Female,Fall,Delhi,Blue,3.377931149463197,53.29761579049777,590,2038-10-10 14:43:54.165463
Sweater,Female,Summer,Thane,Blue,3.696757888584318,42.9660569848014,981,2046-12-31 14:43:54.165463
Kurta,Female,Summer,Hyderabad,Grey,4.891538591357394,149.3445597767767,503,2044-09-27 14:43:54.165463
Dress,Male,Winter,Delhi,Red,3.5700064641749796,127.28765067362315,422,2023-12-13 14:43:54.165463
Shirt,Male,Fall,Nashik,White,3.3111361215307373,39.489036212916886,454,2031-01-17 14:43:54.165463
Hoodie,Male,Spring,Surat,Red,4.985123917330908,77.19880827300216,1258,2026-07-30 14:43:54.165463
Jeans,Male,Winter,Agra,Black,3.6046110727609335,108.5218849663745,411,2028-04-17 14:43:54.165463
Dress,Female,Summer,Faridabad,Pink,4.360507346292158,60.16424771443084,2230,2049-07-13 14:43:54.165463
Shoes,Female,Fall,Ahmedabad,White,3.4631203628785325,187.4657214934137,74,2031-05-25 14:43:54.165463
Jacket,Female,Summer,Patna,Pink,4.100242393972779,188.03064221284927,274,2048-03-17 14:43:54.165463
Jacket,Female,Winter,Hyderabad,Grey,3.7725639732192313,52.019660934697676,1490,2041-12-24 14:43:54.165463
Sweater,Female,Winter,Mumbai,Green,4.923158522318377,102.52393412475456,1513,2033-02-13 14:43:54.165463
Shirt,Male,Fall,Patna,Grey,3.8656117491009754,86.54316468561015,399,2028-09-06 14:43:54.165463
T-Shirt,Male,Winter,Ghaziabad,Pink,4.168348368363448,16.31921289431208,1051,2048-02-07 14:43:54.165463
T-Shirt,Male,Winter,Chennai,Yellow,4.8895325318002945,25.295821322781777,700,2036-02-15 14:43:54.165463
Dress,Male,Spring,Ghaziabad,Blue,4.97846859987591,95.36951342017707,1169,2027-05-12 14:43:54.165463
Winter Cap,Male,Summer,Ghaziabad,White,3.203316728009993,20.466714161991703,605,2042-10-19 14:43:54.165463
Pants,Female,Spring,Indore,Green,4.668641424084778,66.7451780498604,2338,2034-11-04 14:43:54.165463
Shirt,Female,Spring,Surat,Red,3.7642329883744976,48.276789849551356,1521,2026-09-06 14:43:54.165463
Shoes,Female,Fall,Patna,Red,4.189657412411226,193.48682148421133,287,2030-12-15 14:43:54.165463
Socks,Female,Winter,Jaipur,Black,3.750096157910491,19.92488937957107,698,2044-01-15 14:43:54.165463
Winter Cap,Female,Summer,Kanpur,Pink,3.8022324113095847,19.5045661211874,713,2051-01-17 14:43:54.165463
Lower,Male,Summer,Surat,Black,3.3177150719702233,40.352030128260274,727,2040-04-17 14:43:54.165463
T-Shirt,Male,Summer,Faridabad,Grey,4.145532916855732,34.51970441050026,2328,2048-01-09 14:43:54.165463
Jeans,Male,Winter,Faridabad,White,4.093431891889449,86.35222639736494,810,2041-11-14 14:43:54.165463
Jacket,Female,Summer,Ludhiana,Grey,3.3787115770767997,106.13134912929495,503,2024-08-11 14:43:54.165463
Shorts,Female,Summer,Vadodara,Pink,4.083460858667883,26.639740078353185,2017,2031-02-24 14:43:54.165463
Winter Cap,Female,Winter,Chennai,Yellow,4.946203765262172,11.63681625193383,1851,2027-10-19 14:43:54.165463
Scarf,Female,Fall,Indore,Blue,4.428817191707579,18.722203297744123,1935,2044-04-01 14:43:54.165463
Scarf,Male,Summer,Meerut,Red,3.961965119166704,46.545193315784445,665,2046-06-15 14:43:54.165463
Jacket,Female,Winter,Pune,Grey,4.83216797116275,92.05625099307606,1740,2040-06-02 14:43:54.165463
Shirt,Male,Spring,Nashik,White,4.150628713010612,29.993493908717895,2205,2042-04-02 14:43:54.165463
Hoodie,Female,Winter,Indore,Pink,3.2700959974556065,73.6470789681047,1028,2050-02-12 14:43:54.165463
Pants,Male,Spring,Lucknow,White,4.095019295624913,29.14189331937069,942,2051-03-20 14:43:54.165463
Scarf,Female,Winter,Faridabad,Yellow,3.3619462307317356,17.45185288841585,1865,2046-02-12 14:43:54.165463
Lower,Female,Summer,Bhopal,Pink,4.535009677495348,44.86282023484886,770,2040-12-04 14:43:54.165463
Scarf,Male,Fall,Ghaziabad,White,4.934348428589416,35.69883354694857,1947,2030-04-15 14:43:54.165463
Scarf,Male,Fall,Chennai,Black,3.7216371690866605,16.451705043248605,1958,2032-02-20 14:43:54.165463
Scarf,Female,Summer,Thane,Yellow,3.869835760250389,31.116724205293206,721,2046-03-16 14:43:54.165463
Hoodie,Male,Spring,Thane,Red,3.84299293367726,60.50378155342242,699,2047-08-01 14:43:54.165463
Hoodie,Female,Winter,Indore,Pink,3.570599951589764,68.26823907917884,1378,2047-11-07 14:43:54.165463
Lower,Female,Summer,Ludhiana,Grey,4.588359929757262,49.5137884174715,961,2030-07-13 14:43:54.165463
T-Shirt,Male,Winter,Kanpur,Black,4.235456665493992,24.898001664676794,888,2035-07-12 14:43:54.165463
T-Shirt,Female,Summer,Delhi,Black,3.128103113713119,30.147309925433362,1297,2041-04-29 14:43:54.165463
Hoodie,Female,Summer,Pune,Yellow,4.677612670046271,85.49198790526755,1167,2044-01-22 14:43:54.165463
Jacket,Male,Winter,Vadodara,Grey,3.3741764623064148,188.3834585690853,578,2028-10-15 14:43:54.165463
Shoes,Female,Fall,Indore,Yellow,4.958302323418242,183.6984459574817,460,2026-02-25 14:43:54.165463
Kurta,Female,Fall,Ahmedabad,White,3.7533262780051313,92.53940473034459,621,2041-10-12 14:43:54.165463
Sweater,Female,Spring,Faridabad,Grey,4.232899294300648,74.06493477515764,993,2024-08-24 14:43:54.165463
Scarf,Female,Winter,Jaipur,Green,3.155647237792061,33.51869047532558,1509,2042-11-25 14:43:54.165463
Shoes,Male,Spring,Nagpur,Green,3.6893265493767133,180.3073354561227,345,2044-07-06 14:43:54.165463
Lower,Male,Summer,Jaipur,Green,4.604707914721563,53.59758027752003,1183,2033-11-21 14:43:54.165463
Hoodie,Male,Spring,Indore,Pink,3.954416983906517,51.80727699817416,871,2033-10-22 14:43:54.165463
Shoes,Female,Summer,Ahmedabad,Pink,4.809206967088046,74.42745341330529,986,2046-09-07 14:43:54.165463
Sweater,Male,Winter,Delhi,White,4.150276882101615,63.42309211190762,1559,2040-07-28 14:43:54.165463
Blazer,Male,Winter,Kolkata,Blue,4.857144390791495,114.79721281738622,1179,2036-04-30 14:43:54.165463
Blazer,Male,Winter,Bhopal,Pink,4.9652198140251125,240.6483377148328,135,2044-04-07 14:43:54.165463
T-Shirt,Female,Winter,Lucknow,Red,3.907789119036552,24.307048780352805,666,2049-09-23 14:43:54.165463
Winter Cap,Male,Spring,Lucknow,White,4.1303131451556165,15.436200451808066,1023,2042-05-08 14:43:54.165463
Shoes,Male,Summer,Nashik,White,4.66984128650254,184.92185938388232,343,2047-10-04 14:43:54.165463
Blazer,Female,Fall,Kanpur,Grey,3.4430660110716262,76.43093482765349,953,2051-01-19 14:43:54.165463
Pants,Female,Winter,Nagpur,Black,4.723259147562219,39.31463282845531,837,2049-12-17 14:43:54.165463
Kurta,Female,Winter,Pune,Grey,4.18384028075454,88.30223134006472,690,2034-01-05 14:43:54.165463
Pants,Female,Summer,Faridabad,Green,4.45100027076905,57.730905798782516,891,2024-03-04 14:43:54.165463
Shirt,Female,Fall,Bhopal,Yellow,3.1597080453268904,46.29873826426491,406,2046-03-27 14:43:54.165463
Winter Cap,Female,Winter,Ludhiana,White,4.532375366906807,24.88701990763015,2043,2025-11-08 14:43:54.165463
T-Shirt,Male,Fall,Mumbai,Blue,3.621573809147317,21.959091525071226,913,2025-03-29 14:43:54.165463
Socks,Male,Winter,Nagpur,Pink,4.610464553699684,13.614111803382281,537,2049-05-14 14:43:54.165463
Shirt,Female,Spring,Lucknow,Red,4.018305076605413,51.50809253817786,1577,2050-06-15 14:43:54.165463
Socks,Female,Spring,Hyderabad,Blue,3.5492286696312663,17.738895309026756,756,2043-01-08 14:43:54.165463
T-Shirt,Male,Fall,Hyderabad,White,4.905519394043308,29.550694668602834,1261,2031-08-17 14:43:54.165463
Sweater,Female,Summer,Thane,White,4.530124795422998,68.28615634115377,802,2033-07-04 14:43:54.165463
Jeans,Female,Summer,Bangalore,Black,4.971372147747294,87.373999147393,787,2041-01-28 14:43:54.165463
Pants,Male,Spring,Faridabad,Blue,3.728939796824408,31.77435022423178,1830,2024-08-11 14:43:54.165463
Shirt,Female,Summer,Vadodara,Black,4.298439267083277,35.19168648590827,903,2047-03-24 14:43:54.165463
Blazer,Female,Summer,Ludhiana,Yellow,4.2231773557274535,210.14517197317568,284,2037-12-20 14:43:54.165463
Blazer,Male,Summer,Delhi,Blue,4.375113482137606,111.94956803651394,838,2038-04-27 14:43:54.165463
Scarf,Male,Fall,Chennai,Green,3.0766331320826614,38.96439251249596,1380,2043-07-18 14:43:54.165463
Hoodie,Male,Fall,Agra,Yellow,3.583438647754748,36.81988789840415,714,2040-02-04 14:43:54.165463
T-Shirt,Male,Summer,Faridabad,Green,4.818675147581614,43.76463311113046,3014,2034-05-07 14:43:54.165463
Blazer,Male,Spring,Pune,Blue,3.8476401097444537,247.76334107460184,59,2027-02-20 14:43:54.165463
Jacket,Female,Summer,Visakhapatnam,Black,4.921287358163094,106.05364178116764,580,2043-03-16 14:43:54.165463
Lower,Female,Winter,Ahmedabad,Green,3.4270063452899517,40.22120407659587,636,2024-11-03 14:43:54.165463
Lower,Female,Spring,Delhi,White,4.994847946962179,37.70847919359209,1042,2030-11-21 14:43:54.165463
Winter Cap,Female,Fall,Kanpur,Pink,4.395161817919065,36.825632459170706,908,2024-06-08 14:43:54.165463
Winter Cap,Female,Winter,Ahmedabad,Red,4.552786848132976,10.298021130906388,3269,2032-12-28 14:43:54.165463
Pants,Male,Summer,Surat,Grey,3.7937223444050714,60.94026266401099,574,2028-10-07 14:43:54.165463
Blazer,Female,Summer,Jaipur,Black,4.814016242521242,183.94997183267122,366,2030-07-14 14:43:54.165463
Blazer,Female,Spring,Ghaziabad,Yellow,4.090925801917244,132.6531515766111,330,2033-04-06 14:43:54.165463
Pants,Female,Spring,Pune,Pink,4.36187676044927,37.0633503164358,2728,2030-05-16 14:43:54.165463
T-Shirt,Female,Summer,Mumbai,Yellow,3.1896165426725718,23.388893849526248,718,2029-09-03 14:43:54.165463
Sweater,Female,Summer,Faridabad,Blue,4.263361401785787,95.03480909104184,686,2025-05-31 14:43:54.165463
Scarf,Male,Spring,Chennai,Yellow,4.758157976524313,17.313608373123564,824,2029-01-16 14:43:54.165463
Socks,Female,Winter,Faridabad,Grey,3.356566456431976,13.457362194115385,508,2035-07-28 14:43:54.165463
Kurta,Female,Fall,Agra,Red,4.475451869269692,73.75246632760921,659,2042-02-04 14:43:54.165463
Shoes,Female,Spring,Lucknow,Red,3.050801517989309,89.78717187024806,330,2048-04-11 14:43:54.165463
Socks,Female,Winter,Bangalore,White,4.852406033125038,12.586064982965539,1241,2024-12-13 14:43:54.165463
Pants,Female,Summer,Thane,Yellow,4.965834232062372,74.38238284538718,681,2024-07-18 14:43:54.165463
Blazer,Female,Fall,Lucknow,Black,3.708360133596189,177.43746461709287,728,2037-08-26 14:43:54.165463
Pants,Male,Winter,Faridabad,Red,3.2141476994306695,68.3735845265428,652,2046-08-29 14:43:54.165463
Skirt,Female,Fall,Ahmedabad,Black,4.31715273632629,72.04786454840166,1333,2042-04-19 14:43:54.165463
Hoodie,Male,Fall,Bhopal,White,3.059669028294958,78.84010459109186,313,2050-11-29 14:43:54.165463
Pants,Male,Fall,Ludhiana,Blue,3.9649725625943733,48.78242068363126,1390,2036-10-03 14:43:54.165463
Blazer,Female,Winter,Kolkata,Red,3.543558350275773,235.93651068955495,77,2045-12-07 14:43:54.165463
Winter Cap,Female,Winter,Chennai,Grey,3.946678107905754,25.05817061317483,1612,2032-05-03 14:43:54.165463
Kurta,Female,Summer,Jaipur,Grey,3.0365510294767137,100.69521361494394,457,2037-02-20 14:43:54.165463
T-Shirt,Male,Fall,Kolkata,Red,3.103224366141413,33.37379261391973,612,2028-12-12 14:43:54.165463
Kurta,Female,Spring,Bangalore,Red,3.031951657686765,74.78079221814103,370,2043-06-07 14:43:54.165463
T-Shirt,Female,Spring,Lucknow,Yellow,4.238263740094228,23.0933452459715,890,2044-01-08 14:43:54.165463
Skirt,Female,Spring,Kanpur,Grey,4.1201858353504175,35.16844748808885,2386,2045-04-15 14:43:54.165463
Blazer,Male,Winter,Ludhiana,Grey,3.4663159970732087,196.45324658048423,230,2029-03-07 14:43:54.165463
Socks,Male,Summer,Meerut,Black,4.293286257808043,9.339128947555562,865,2037-07-19 14:43:54.165463
Shirt,Female,Winter,Lucknow,Pink,4.76841451378995,50.297867607714466,761,2040-09-14 14:43:54.165463
Pants,Male,Fall,Delhi,Red,3.554644202052227,75.59604894994169,1421,2026-05-06 14:43:54.165463
Scarf,Female,Spring,Mumbai,Black,4.663987615757975,34.82565722941558,778,2046-01-11 14:43:54.165463
T-Shirt,Male,Winter,Faridabad,Yellow,4.325018272004363,18.39773223663784,1128,2027-08-04 14:43:54.165463
Blazer,Female,Spring,Faridabad,Green,3.0676408863459663,211.92626343653143,133,2027-08-11 14:43:54.165463
Jacket,Male,Winter,Delhi,Grey,3.750299791658869,88.41958986641832,1030,2041-02-18 14:43:54.165463
Skirt,Female,Spring,Indore,Green,4.015514431718034,68.68940898523277,2180,2048-10-02 14:43:54.165463
Shoes,Female,Fall,Nagpur,Black,4.463398379909442,126.4972212295986,494,2033-06-03 14:43:54.165463
Shoes,Male,Spring,Faridabad,Yellow,3.574261116506834,85.71182635278211,612,2044-03-23 14:43:54.165463
Dress,Male,Fall,Ahmedabad,Green,4.965460209715864,60.62908969726844,826,2040-11-17 14:43:54.165463
Socks,Male,Fall,Delhi,White,4.369079481010171,8.16892409742452,1066,2029-04-12 14:43:54.165463
Hoodie,Male,Winter,Nashik,White,3.745627354328721,36.81364596947759,1590,2049-05-14 14:43:54.165463
T-Shirt,Male,Winter,Nashik,Green,3.1940500781542243,24.646980663323543,547,2051-01-28 14:43:54.165463
Shorts,Female,Winter,Vadodara,Grey,3.36273552054162,59.891900429498584,539,2035-10-01 14:43:54.165463
T-Shirt,Female,Fall,Visakhapatnam,Blue,3.9752155201103134,29.073229283448388,734,2031-07-14 14:43:54.165463
Lower,Male,Summer,Lucknow,Black,3.9893907099167336,54.55553565340041,931,2043-11-08 14:43:54.165463
Blazer,Female,Summer,Bhopal,Green,4.5354375296427065,164.34376150452167,367,2050-07-13 14:43:54.165463
Kurta,Female,Fall,Ghaziabad,Black,4.452353251144505,113.32413872671063,621,2025-01-14 14:43:54.165463
Pants,Male,Fall,Patna,Pink,3.402546077035635,33.59913833628059,824,2032-11-25 14:43:54.165463
Scarf,Female,Winter,Ghaziabad,Pink,4.18991324111653,24.618205359769142,1705,2050-07-07 14:43:54.165463
Scarf,Female,Winter,Pune,Yellow,3.0412436014857764,32.865519806012394,1349,2027-03-01 14:43:54.165463
Jacket,Male,Winter,Delhi,Pink,3.7970947987686667,182.1715151340261,645,2043-10-03 14:43:54.165463
Skirt,Male,Summer,Visakhapatnam,Pink,4.528210481143212,33.00216251194581,2302,2049-11-06 14:43:54.165463
